,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,Faanui,-16.4833,-151.75,81.54,67,7,12.8,PF,1624700381
226,Zhezkazgan,47.8043,67.7144,78.98,26,95,8.37,KZ,1624700381
227,Souillac,-20.5167,57.5167,74.35,88,75,16.11,MU,1624700381
228,Unaí,-16.3575,-46.9061,59.13,61,3,1.52,BR,1624700382
229,Dakar,14.6937,-17.4441,74.28,94,20,6.91,SN,1624700382
230,Ureki,41.9956,41.7786,84.63,77,90,11.61,GE,1624700383
231,Hamilton,39.1834,-84.5333,74.55,88,75,1.99,US,1624700033
232,Itoman,26.1247,127.6694,86.4,92,75,9.22,JP,1624700383
233,Cape Girardeau,37.3834,-89.7168,78.6,94,98,14.03,US,1624700384
234,Calbuco,-41.768,-73.1273,33.01,84,35,4.43,CL,1624700384
235,Russell,32.3502,-85.1999,71.31,92,7,4.81,US,1624700384
236,Marawi,7.9986,124.2928,70.97,94,80,1.92,PH,1624700385
237,Šibenik,43.7272,15.9058,91.06,30,0,11.01,HR,1624700385
238,Prince Rupert,54.3161,-130.3201,62.29,91,1,9.22,CA,1624700386
239,Alyangula,-13.8483,136.4192,71.47,78,85,8.05,AU,1624700386
240,Kamenka,51.3223,42.7678,89.47,44,65,4.63,RU,1624700386
241,Mersing,2.4312,103.8405,82.31,89,83,4.61,MY,1624700387
242,Söderhamn,61.3037,17.0592,68.99,61,71,8.7,SE,1624700387
243,Tokur,53.1333,132.9,51.31,89,95,4.68,RU,1624700387
244,Sirte,31.2089,16.5887,87.15,46,0,10.45,LY,1624700388
245,Belyy Yar,53.6039,91.3903,69.69,40,0,6.71,RU,1624700388
246,Jovellar,13.0695,123.5999,82.0,79,85,0.74,PH,1624700389
247,Warrnambool,-38.3833,142.4833,51.82,78,96,19.37,AU,1624700389
248,Port Moresby,-9.4431,147.1797,76.19,92,98,10.87,PG,1624700389
249,Krasnovishersk,60.4078,57.082,78.24,44,59,6.64,RU,1624700390
250,Mount Isa,-20.7333,139.5,58.77,47,0,9.22,AU,1624700390
251,Port Pirie,-33.1833,138.0167,53.69,65,34,0.67,AU,1624700391
252,Mt. Pleasant,32.7941,-79.8626,75.97,95,1,3.0,US,1624700262
253,Sinjār,36.3209,41.8754,101.43,9,0,10.58,IQ,1624700391
254,Nemuro,43.3236,145.575,66.63,91,40,10.47,JP,1624700392
255,São Gabriel da Cachoeira,-0.1303,-67.0892,69.6,99,46,1.12,BR,1624700392
256,Naze,28.3667,129.4833,76.12,88,100,5.57,JP,1624700392
257,Nova Olinda do Norte,-3.8881,-59.0942,70.88,97,14,1.3,BR,1624700393
258,Port Lincoln,-34.7333,135.8667,53.56,78,26,8.48,AU,1624700393
259,Wattegama,6.7989,81.4808,88.72,38,99,5.28,LK,1624700393
260,Vanimo,-2.6741,141.3028,78.84,83,100,4.88,PG,1624700394
261,Thayetmyo,19.3167,95.1833,87.17,68,83,8.66,MM,1624700394
262,Muli,2.9167,73.5667,82.98,74,53,13.53,MV,1624700395
263,Rawson,-43.3002,-65.1023,41.72,61,59,27.54,AR,1624700395
264,Airai,-8.9266,125.4092,60.94,94,80,3.69,TL,1624700395
265,Evansville,37.9748,-87.5558,76.19,82,1,3.0,US,1624700118
266,Mitsamiouli,-11.3847,43.2844,78.12,64,10,3.44,KM,1624700396
267,Rauma,61.1272,21.5113,69.84,79,91,9.53,FI,1624700396
268,Bumba,2.1833,22.4667,93.7,36,10,2.17,CD,1624700397
269,Half Moon Bay,37.4636,-122.4286,62.06,89,90,3.44,US,1624700397
270,Quanzhou,24.9139,118.5858,82.35,84,98,12.62,CN,1624700397
271,Kahului,20.8947,-156.47,75.85,79,1,3.44,US,1624700398
272,Redmond,47.674,-122.1215,73.87,77,0,1.99,US,1624700394
273,Shakiso,5.75,38.9167,73.29,53,100,7.96,ET,1624700398
274,Yaan,7.3833,8.5667,76.08,89,100,8.19,NG,1624700399
275,Āsind,25.7333,74.3333,97.86,32,41,6.73,IN,1624700399
276,Bathsheba,13.2167,-59.5167,81.21,65,40,23.02,BB,1624700399
277,San Miguel de Tucumán,-26.8241,-65.2226,44.6,87,57,3.44,AR,1624700400
278,Tignère,7.3667,12.65,80.19,59,8,3.58,CM,1624700400
279,Hobyo,5.3505,48.5268,84.33,62,81,28.16,SO,1624700401
280,Tacoronte,28.4769,-16.4102,65.34,73,20,8.99,ES,1624700401
281,Franca,-20.5386,-47.4008,57.25,66,11,5.59,BR,1624700380
282,Muncie,40.1934,-85.3864,74.52,87,100,8.01,US,1624700372
283,Heide,54.2,9.1,73.18,68,94,0.87,DE,1624700403
284,Krasnosel'kup,65.7,82.4667,57.85,42,34,20.58,RU,1624700403
285,Liubar,49.9204,27.7592,75.34,81,64,9.64,UA,1624700403
286,Coyhaique,-45.5752,-72.0662,28.35,93,0,2.3,CL,1624700404
287,Vestmannaeyjar,63.4427,-20.2734,49.19,93,40,13.8,IS,1624700404
288,San Cristobal,7.7669,-72.225,63.21,90,81,1.92,VE,1624700405
289,Ilesha,7.1371,5.2583,73.36,96,100,1.95,NG,1624700405
290,Bilma,18.6853,12.9164,106.93,7,2,19.15,NE,1624700405
291,Kahuta,33.5913,73.3868,98.96,22,29,7.47,PK,1624700406
292,Kushmurun,52.4503,64.6311,82.83,32,99,5.1,KZ,1624700406
293,Lavrentiya,65.5833,-171.0,42.71,87,96,10.4,RU,1624700406
294,Saint Simons,31.1352,-81.3901,78.03,97,1,0.0,US,1624700407
295,Zhangye,38.9342,100.4517,86.5,27,7,6.53,CN,1624700408
296,Saurimo,-9.6608,20.3916,79.12,41,0,8.05,AO,1624700408
297,Peleduy,59.6289,112.7406,84.22,31,55,1.95,RU,1624700408
298,Sechura,-5.5569,-80.8222,64.13,84,14,9.19,PE,1624700409
299,Havre-St-Pierre,50.2334,-63.5986,59.59,94,90,5.75,CA,1624700409
300,Ankazobe,-18.3167,47.1167,68.41,36,1,2.75,MG,1624700409
301,Puri,19.8,85.85,82.92,66,90,10.65,IN,1624700410
302,Camacha,33.0833,-16.3333,65.62,60,75,8.05,PT,1624700410
303,Maxixe,-23.8597,35.3472,84.07,36,0,10.13,MZ,1624700411
304,Phan Thiet,10.9333,108.1,87.12,65,83,15.28,VN,1624700411
305,Şırnak,37.5228,42.4594,91.42,9,0,9.95,TR,1624700412
306,Evensk,61.95,159.2333,56.48,79,54,5.37,RU,1624700412
307,Xam Nua,20.4197,104.0439,79.39,73,96,2.91,LA,1624700412
308,Ambilobe,-13.2,49.05,87.87,31,5,1.52,MG,1624700413
309,Moa,20.6569,-74.9403,78.15,82,28,9.98,CU,1624700413
310,Tsaratanana,-16.7833,47.65,82.56,30,0,2.59,MG,1624700414
311,Hirara,24.8,125.2833,80.87,100,75,8.05,JP,1624700414
312,Mumbai,19.0144,72.8479,89.58,70,40,12.66,IN,1624700216
313,Humberto de Campos,-2.5983,-43.4611,74.73,93,31,3.83,BR,1624700414
314,Cabo San Lucas,22.8909,-109.9124,80.82,79,64,11.07,MX,1624700415
315,Rayevskiy,54.0658,54.9468,85.93,52,99,12.12,RU,1624700415
316,Kavieng,-2.5744,150.7967,82.27,75,9,8.95,PG,1624700416
317,Matara,5.9485,80.5353,81.21,81,100,14.45,LK,1624700416
318,Labuhan,-6.8844,112.2051,82.94,77,31,7.87,ID,1624700416
319,Tuyen Quang,21.8233,105.2181,94.82,53,57,4.5,VN,1624700417
320,Nehe,48.4833,124.8333,75.79,60,52,9.6,CN,1624700417
321,Pachino,36.7186,15.0907,102.24,49,73,9.73,IT,1624700417
322,Portsmouth,50.799,-1.0913,69.49,71,48,8.79,GB,1624700362
323,Sinnamary,5.3833,-52.95,76.48,88,24,8.79,GF,1624700418
324,Vilhena,-12.7406,-60.1458,64.96,67,21,3.15,BR,1624700418
325,Manokwari,-0.8667,134.0833,80.53,78,100,10.07,ID,1624700419
326,Plouzané,48.3833,-4.6167,57.52,86,75,3.44,FR,1624700419
327,Pandan,14.0453,124.1694,83.39,75,98,4.38,PH,1624700420
328,Kautokeino,69.0125,23.0412,52.57,53,97,7.83,NO,1624700420
329,Olbia,40.9214,9.4856,82.45,47,0,6.91,IT,1624700420
330,Sittwe,20.15,92.9,84.27,75,68,8.72,MM,1624700421
331,Bagdarin,54.4333,113.6,64.94,80,76,3.87,RU,1624700421
332,Yershov,51.3513,48.2766,93.36,33,90,3.98,RU,1624700422
333,Norman Wells,65.282,-126.8329,57.24,82,75,2.3,CA,1624700422
334,Cabedelo,-6.9811,-34.8339,70.47,80,11,15.35,BR,1624700422
335,Katangli,51.7102,143.2326,43.56,89,100,11.72,RU,1624700423
336,Longyearbyen,78.2186,15.6401,40.84,81,40,6.91,SJ,1624700423
337,Xining,36.6167,101.7667,68.95,60,97,5.3,CN,1624700424
338,Cravo Norte,6.3017,-70.2041,72.81,93,34,2.95,CO,1624700424
339,San Patricio,28.017,-97.5169,84.29,84,15,12.62,US,1624700424
340,Gamba,-2.65,10.0,77.52,76,100,6.44,GA,1624700425
341,Ranfurly,-45.1333,170.1,39.65,90,32,2.33,NZ,1624700425
342,Kainantu,-6.2887,145.8655,60.62,97,68,0.98,PG,1624700425
343,Fairbanks,64.8378,-147.7164,60.93,67,75,4.61,US,1624700177
344,Harper,4.375,-7.7169,79.21,81,99,1.3,LR,1624700426
345,Chaman,30.9236,66.4512,94.95,4,0,14.2,PK,1624700426
346,Chumikan,54.7183,135.315,43.59,93,100,2.68,RU,1624700427
347,Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,71,75,6.71,RU,1624700427
348,Sioux Lookout,50.1001,-91.917,60.87,88,90,5.75,CA,1624700427
349,Sawākin,19.1059,37.3321,100.47,29,57,9.57,SD,1624700428
350,Verkhniye Kigi,55.4083,58.6044,81.48,56,75,9.31,RU,1624700428
351,Yulara,-25.2406,130.9889,55.24,44,0,8.05,AU,1624700429
352,Comodoro Rivadavia,-45.8667,-67.5,40.86,52,0,17.27,AR,1624700429
353,Poum,-20.2333,164.0167,74.64,77,98,17.94,NC,1624700429
354,Bam,29.106,58.357,95.25,10,0,17.58,IR,1624700430
355,Aketi,2.7388,23.7833,95.32,36,4,1.86,CD,1624700430
356,Ust'-Omchug,61.15,149.6333,66.25,50,42,0.83,RU,1624700236
357,Máncora,-4.1078,-81.0475,69.78,75,5,2.55,PE,1624700431
